Time[s], BSYNC, VIDEO, INTENS
0.42940079, 1, 0, 1
0.42940220, 1, 1, 1
0.42940245, 1, 0, 1
0.42940799, 1, 1, 1
0.42940826, 1, 0, 1
0.42940864, 1, 1, 1
0.42940887, 1, 0, 1
0.42943235, 0, 0, 1
0.42943727, 1, 0, 1
0.42944496, 1, 1, 1
0.42944731, 1, 0, 1
0.42944778, 1, 1, 1
0.42944802, 1, 0, 1
0.42944807, 1, 1, 1
0.42944833, 1, 0, 1
0.42944850, 1, 1, 1
0.42944885, 1, 0, 1
0.42944894, 1, 1, 1
0.42944992, 1, 0, 1
0.42945067, 1, 1, 1
0.42945303, 1, 0, 1
0.42945306, 1, 1, 1
0.42945485, 1, 0, 1
0.42945538, 1, 1, 1
0.42945572, 1, 0, 1
0.42945603, 1, 1, 1
0.42945636, 1, 0, 1
0.42945653, 1, 1, 1
0.42945887, 1, 0, 1
0.42945936, 1, 1, 1
0.42946130, 1, 0, 1
0.42946167, 1, 1, 1
0.42946524, 1, 0, 1
0.42946587, 1, 1, 1
0.42946633, 1, 0, 1
0.42946637, 1, 1, 1
0.42947105, 1, 0, 1
0.42947115, 1, 1, 1
0.42947149, 1, 0, 1
0.42949487, 0, 0, 1
0.42949978, 1, 0, 1
0.42950624, 1, 1, 1
0.42950682, 1, 0, 1
0.42950740, 1, 1, 1
0.42950987, 1, 0, 1
0.42951029, 1, 1, 1
0.42951089, 1, 0, 1
0.42951102, 1, 1, 1
0.42951136, 1, 0, 1
0.42951145, 1, 1, 1
0.42951509, 1, 0, 1
0.42951514, 1, 1, 1
0.42951547, 1, 0, 1
0.42951565, 1, 1, 1
0.42951601, 1, 0, 1
0.42951608, 1, 1, 1
0.42951746, 1, 0, 1
0.42951789, 1, 1, 1
0.42951818, 1, 0, 1
0.42951854, 1, 1, 1
0.42951892, 1, 0, 1
0.42951934, 1, 1, 1
0.42951994, 1, 0, 1
0.42952028, 1, 1, 1
0.42952144, 1, 0, 1
0.42952187, 1, 1, 1
0.42952377, 1, 0, 1
0.42952418, 1, 1, 1
0.42952586, 1, 0, 1
0.42952599, 1, 1, 1
0.42952761, 1, 0, 1
0.42952845, 1, 1, 1
0.42953130, 1, 0, 1
0.42953135, 1, 1, 1
0.42953339, 1, 0, 1
0.42953366, 1, 1, 1
0.42953399, 1, 0, 1
0.42955741, 0, 0, 1
0.42956230, 1, 0, 1
0.42956991, 1, 1, 1
0.42957016, 1, 0, 1
0.42957027, 1, 1, 1
0.42957240, 1, 0, 1
0.42957281, 1, 1, 1
0.42957343, 1, 0, 1
0.42957353, 1, 1, 1
0.42957387, 1, 0, 1
0.42957396, 1, 1, 1
0.42957468, 1, 0, 1
0.42957490, 1, 1, 1
0.42957522, 1, 0, 1
0.42957570, 1, 1, 1
0.42957755, 1, 0, 1
0.42957765, 1, 1, 1
0.42957803, 1, 0, 1
0.42957816, 1, 1, 1
0.42957852, 1, 0, 1
0.42957859, 1, 1, 1
0.42957963, 1, 0, 1
0.42958040, 1, 1, 1
0.42958076, 1, 0, 1
0.42958105, 1, 1, 1
0.42958136, 1, 0, 1
0.42958156, 1, 1, 1
0.42958315, 1, 0, 1
0.42958322, 1, 1, 1
0.42958397, 1, 0, 1
0.42958438, 1, 1, 1
0.42958471, 1, 0, 1
0.42958474, 1, 1, 1
0.42958620, 1, 0, 1
0.42958670, 1, 1, 1
0.42958845, 1, 0, 1
0.42958851, 1, 1, 1
0.42958892, 1, 0, 1
0.42958901, 1, 1, 1
0.42959010, 1, 0, 1
0.42959097, 1, 1, 1
0.42959127, 1, 0, 1
0.42959133, 1, 1, 1
0.42959350, 1, 0, 1
0.42959386, 1, 1, 1
0.42959529, 1, 0, 1
0.42959552, 1, 1, 1
0.42959590, 1, 0, 1
0.42959618, 1, 1, 1
0.42959651, 1, 0, 1
0.42961989, 0, 0, 1
0.42962481, 1, 0, 1
0.42963243, 1, 1, 1
0.42963273, 1, 0, 1
0.42963279, 1, 1, 1
0.42963459, 1, 0, 1
0.42963532, 1, 1, 1
0.42963565, 1, 0, 1
0.42963568, 1, 1, 1
0.42963642, 1, 0, 1
0.42963648, 1, 1, 1
0.42963724, 1, 0, 1
0.42963742, 1, 1, 1
0.42963771, 1, 0, 1
0.42963821, 1, 1, 1
0.42964050, 1, 0, 1
0.42964067, 1, 1, 1
0.42964107, 1, 0, 1
0.42964111, 1, 1, 1
0.42964212, 1, 0, 1
0.42964292, 1, 1, 1
0.42964323, 1, 0, 1
0.42964357, 1, 1, 1
0.42964388, 1, 0, 1
0.42964400, 1, 1, 1
0.42964480, 1, 0, 1
0.42964494, 1, 1, 1
0.42964569, 1, 0, 1
0.42964574, 1, 1, 1
0.42964609, 1, 0, 1
0.42964690, 1, 1, 1
0.42964880, 1, 0, 1
0.42964921, 1, 1, 1
0.42965093, 1, 0, 1
0.42965102, 1, 1, 1
0.42965137, 1, 0, 1
0.42965153, 1, 1, 1
0.42965267, 1, 0, 1
0.42965348, 1, 1, 1
0.42965381, 1, 0, 1
0.42965384, 1, 1, 1
0.42965603, 1, 0, 1
0.42965637, 1, 1, 1
0.42965669, 1, 0, 1
0.42965672, 1, 1, 1
0.42965714, 1, 0, 1
0.42965739, 1, 1, 1
0.42965769, 1, 0, 1
0.42965804, 1, 1, 1
0.42965841, 1, 0, 1
0.42965869, 1, 1, 1
0.42965907, 1, 0, 1
0.42968244, 0, 0, 1
0.42968733, 1, 0, 1
0.42969494, 1, 1, 1
0.42969522, 1, 0, 1
0.42969530, 1, 1, 1
0.42969742, 1, 0, 1
0.42969783, 1, 1, 1
0.42969848, 1, 0, 1
0.42969856, 1, 1, 1
0.42969888, 1, 0, 1
0.42969899, 1, 1, 1
0.42970028, 1, 0, 1
0.42970073, 1, 1, 1
0.42970261, 1, 0, 1
0.42970268, 1, 1, 1
0.42970305, 1, 0, 1
0.42970319, 1, 1, 1
0.42970465, 1, 0, 1
0.42970550, 1, 1, 1
0.42970583, 1, 0, 1
0.42970608, 1, 1, 1
0.42970638, 1, 0, 1
0.42970651, 1, 1, 1
0.42970821, 1, 0, 1
0.42970825, 1, 1, 1
0.42970902, 1, 0, 1
0.42970941, 1, 1, 1
0.42971130, 1, 0, 1
0.42971172, 1, 1, 1
0.42971350, 1, 0, 1
0.42971353, 1, 1, 1
0.42971394, 1, 0, 1
0.42971404, 1, 1, 1
0.42971516, 1, 0, 1
0.42971599, 1, 1, 1
0.42971631, 1, 0, 1
0.42971643, 1, 1, 1
0.42971853, 1, 0, 1
0.42971889, 1, 1, 1
0.42972029, 1, 0, 1
0.42972055, 1, 1, 1
0.42972089, 1, 0, 1
0.42972113, 1, 1, 1
0.42972151, 1, 0, 1
0.42974492, 0, 0, 1
0.42974983, 1, 0, 1
0.42975753, 1, 1, 1
0.42975997, 1, 0, 1
0.42976035, 1, 1, 1
0.42976090, 1, 0, 1
0.42976100, 1, 1, 1
0.42976277, 1, 0, 1
0.42976324, 1, 1, 1
0.42976565, 1, 0, 1
0.42976577, 1, 1, 1
0.42976717, 1, 0, 1
