Time[s], BSYNC, SPI, COPY
0.47929264, 1, 0, 0
0.47932781, 0, 0, 0
0.47932889, 1, 0, 0
0.47933447, 1, 1, 0
0.47933448, 1, 0, 0
0.47933497, 1, 1, 0
0.47933498, 1, 0, 0
0.47933797, 1, 1, 0
0.47933798, 1, 0, 0
0.47937384, 0, 0, 0
0.47937485, 1, 0, 0
0.47938776, 1, 1, 0
0.47938782, 1, 0, 0
0.47938876, 1, 1, 0
0.47938882, 1, 0, 0
0.47941986, 0, 0, 0
0.47942091, 1, 0, 0
0.47942559, 1, 1, 0
0.47942584, 1, 0, 0
0.47942609, 1, 1, 0
0.47942634, 1, 0, 0
0.47942652, 1, 1, 0
0.47942653, 1, 0, 0
0.47942702, 1, 1, 0
0.47942703, 1, 0, 0
0.47942916, 1, 1, 0
0.47942928, 1, 0, 0
0.47943003, 1, 1, 0
0.47943041, 1, 0, 0
0.47943052, 1, 1, 0
0.47943053, 1, 0, 0
0.47943379, 1, 1, 0
0.47943384, 1, 0, 0
0.47943478, 1, 1, 0
0.47943484, 1, 0, 0
0.47945761, 1, 1, 0
0.47945786, 1, 0, 0
0.47945811, 1, 1, 0
0.47945836, 1, 0, 0
0.47946589, 0, 0, 0
0.47946690, 1, 0, 0
0.47951191, 0, 0, 0
0.47951299, 1, 0, 0
0.47955793, 0, 0, 0
0.47955898, 1, 0, 0
0.47960396, 0, 0, 0
0.47960497, 1, 0, 0
0.47964998, 0, 0, 0
0.47965103, 1, 0, 0
0.47969601, 0, 0, 0
0.47969705, 1, 0, 0
0.47974203, 0, 0, 0
0.47974308, 1, 0, 0
0.47978806, 0, 0, 0
0.47978907, 1, 0, 0
0.47979422, 1, 1, 0
0.47979460, 1, 0, 0
0.47979522, 1, 1, 0
0.47979554, 1, 0, 0
0.47979578, 1, 1, 0
0.47979604, 1, 0, 0
0.47979673, 1, 1, 0
0.47979704, 1, 0, 0
0.47979722, 1, 1, 0
0.47979748, 1, 0, 0
0.47982581, 1, 1, 0
0.47982605, 1, 0, 0
0.47982630, 1, 1, 0
0.47982655, 1, 0, 0
0.47983408, 0, 0, 0
0.47983513, 1, 0, 0
0.47984024, 1, 1, 0
0.47984025, 1, 0, 0
0.47984174, 1, 1, 0
0.47984175, 1, 0, 0
0.47984249, 1, 1, 0
0.47984250, 1, 0, 0
0.47984274, 1, 1, 0
0.47984275, 1, 0, 0
0.47988011, 0, 0, 0
0.47988119, 1, 0, 0
0.47992613, 0, 0, 0
0.47992718, 1, 0, 0
0.47993379, 1, 1, 0
0.47993380, 1, 0, 0
0.47993429, 1, 1, 0
0.47993430, 1, 0, 0
0.47993479, 1, 1, 0
0.47993480, 1, 0, 0
0.47997215, 0, 0, 0
0.47997317, 1, 0, 0
0.47997789, 1, 1, 0
0.47997795, 1, 0, 0
0.47997832, 1, 1, 0
0.47997863, 1, 0, 0
0.47997939, 1, 1, 0
0.47997964, 1, 0, 0
0.47998082, 1, 1, 0
0.47998114, 1, 0, 0
0.48001003, 1, 1, 0
0.48001015, 1, 0, 0
0.48001033, 1, 1, 0
0.48001034, 1, 0, 0
0.48001818, 0, 0, 0
0.48001923, 1, 0, 0
0.48002434, 1, 1, 0
0.48002435, 1, 0, 0
0.48002584, 1, 1, 0
0.48002585, 1, 0, 0
0.48002634, 1, 1, 0
0.48002672, 1, 0, 0
0.48002684, 1, 1, 0
0.48002685, 1, 0, 0
0.48005635, 1, 1, 0
0.48005636, 1, 0, 0
0.48006420, 0, 0, 0
0.48006526, 1, 0, 0
0.48007236, 1, 1, 0
0.48007237, 1, 0, 0
0.48011023, 0, 0, 0
0.48011124, 1, 0, 0
0.48012415, 1, 1, 0
0.48012421, 1, 0, 0
0.48012515, 1, 1, 0
0.48012521, 1, 0, 0
0.48012616, 1, 1, 0
0.48012621, 1, 0, 0
0.48012715, 1, 1, 0
0.48012721, 1, 0, 0
0.48012816, 1, 1, 0
0.48012821, 1, 0, 0
0.48015625, 0, 0, 0
0.48015730, 1, 0, 0
0.48016242, 1, 1, 0
0.48016280, 1, 0, 0
0.48016342, 1, 1, 0
0.48016373, 1, 0, 0
0.48016398, 1, 1, 0
0.48016423, 1, 0, 0
0.48016441, 1, 1, 0
0.48016442, 1, 0, 0
0.48016542, 1, 1, 0
0.48016567, 1, 0, 0
0.48017018, 1, 1, 0
0.48017024, 1, 0, 0
0.48017118, 1, 1, 0
0.48017124, 1, 0, 0
0.48017218, 1, 1, 0
0.48017224, 1, 0, 0
0.48017318, 1, 1, 0
0.48017324, 1, 0, 0
0.48017418, 1, 1, 0
0.48017424, 1, 0, 0
0.48019400, 1, 1, 0
0.48019425, 1, 0, 0
0.48019450, 1, 1, 0
0.48019475, 1, 0, 0
0.48020228, 0, 0, 0
0.48020329, 1, 0, 0
0.48024830, 0, 0, 0
0.48024936, 1, 0, 0
0.48029433, 0, 0, 0
0.48029534, 1, 0, 0
0.48034035, 0, 0, 0
0.48034140, 1, 0, 0
0.48038638, 0, 0, 0
0.48038742, 1, 0, 0
0.48043240, 0, 0, 0
0.48043347, 1, 0, 0
0.48047842, 0, 0, 0
0.48047947, 1, 0, 0
0.48052445, 0, 0, 0
0.48052546, 1, 0, 0
0.48053062, 1, 1, 0
0.48053093, 1, 0, 0
0.48053118, 1, 1, 0
0.48053143, 1, 0, 0
0.48053418, 1, 1, 0
0.48053443, 1, 0, 0
0.48053468, 1, 1, 0
0.48053493, 1, 0, 0
0.48053612, 1, 1, 0
0.48053643, 1, 0, 0
0.48053668, 1, 1, 0
0.48053693, 1, 0, 0
0.48056220, 1, 1, 0
0.48056245, 1, 0, 0
0.48056269, 1, 1, 0
0.48056295, 1, 0, 0
0.48057047, 0, 0, 0
0.48057152, 1, 0, 0
0.48058051, 1, 1, 0
0.48058052, 1, 0, 0
0.48058101, 1, 1, 0
0.48058102, 1, 0, 0
0.48058151, 1, 1, 0
0.48058152, 1, 0, 0
0.48058176, 1, 1, 0
0.48058177, 1, 0, 0
0.48058251, 1, 1, 0
0.48058252, 1, 0, 0
0.48058301, 1, 1, 0
0.48058302, 1, 0, 0
0.48060815, 1, 1, 0
0.48060816, 1, 0, 0
0.48060865, 1, 1, 0
0.48060866, 1, 0, 0
0.48061650, 0, 0, 0
0.48061757, 1, 0, 0
0.48062430, 1, 1, 0
0.48062448, 1, 0, 0
0.48062485, 1, 1, 0
0.48062498, 1, 0, 0
0.48062866, 1, 1, 0
0.48062867, 1, 0, 0
0.48066252, 0, 0, 0
0.48066357, 1, 0, 0
0.48066918, 1, 1, 0
0.48066919, 1, 0, 0
0.48067075, 1, 1, 0
0.48067081, 1, 0, 0
0.48067187, 1, 1, 0
0.48067188, 1, 0, 0
0.48070855, 0, 0, 0
0.48070956, 1, 0, 0
0.48071477, 1, 1, 0
0.48071503, 1, 0, 0
0.48071527, 1, 1, 0
0.48071553, 1, 0, 0
0.48071778, 1, 1, 0
0.48071784, 1, 0, 0
0.48071840, 1, 1, 0
0.48071853, 1, 0, 0
0.48071878, 1, 1, 0
0.48071903, 1, 0, 0
0.48072028, 1, 1, 0
0.48072053, 1, 0, 0
0.48072090, 1, 1, 0
0.48072103, 1, 0, 0
0.48074642, 1, 1, 0
0.48074654, 1, 0, 0
0.48075457, 0, 0, 0
0.48075562, 1, 0, 0
0.48076025, 1, 1, 0
0.48076061, 1, 0, 0
0.48076391, 1, 1, 0
0.48076392, 1, 0, 0
0.48076575, 1, 1, 0
0.48076612, 1, 0, 0
0.48076711, 1, 1, 0
0.48076712, 1, 0, 0
0.48080060, 0, 0, 0
0.48080167, 1, 0, 0
0.48081132, 1, 1, 0
0.48081133, 1, 0, 0
0.48081232, 1, 1, 0
0.48081233, 1, 0, 0
0.48084662, 0, 0, 0
0.48084767, 1, 0, 0
0.48085328, 1, 1, 0
0.48085329, 1, 0, 0
0.48086054, 1, 1, 0
0.48086060, 1, 0, 0
0.48086155, 1, 1, 0
0.48086160, 1, 0, 0
0.48086255, 1, 1, 0
0.48086261, 1, 0, 0
0.48086355, 1, 1, 0
0.48086361, 1, 0, 0
0.48086455, 1, 1, 0
0.48086461, 1, 0, 0
0.48086555, 1, 1, 0
0.48086561, 1, 0, 0
0.48086655, 1, 1, 0
0.48086661, 1, 0, 0
0.48086755, 1, 1, 0
0.48086761, 1, 0, 0
0.48089265, 0, 0, 0
0.48089366, 1, 0, 0
0.48089881, 1, 1, 0
0.48089912, 1, 0, 0
0.48089937, 1, 1, 0
0.48089963, 1, 0, 0
0.48090044, 1, 1, 0
0.48090063, 1, 0, 0
0.48090237, 1, 1, 0
0.48090263, 1, 0, 0
0.48090287, 1, 1, 0
0.48090313, 1, 0, 0
0.48090431, 1, 1, 0
0.48090463, 1, 0, 0
0.48090487, 1, 1, 0
