Time[s], BSYNC, VIDEO, INTENS
1.01090373, 1, 1, 0
1.01090395, 1, 0, 0
1.01090423, 1, 1, 0
1.01090439, 1, 0, 0
1.01090473, 1, 1, 0
1.01090489, 1, 0, 0
1.01092739, 0, 0, 0
1.01092940, 1, 0, 0
1.01093340, 1, 1, 1
1.01093351, 1, 0, 0
1.01093368, 1, 1, 1
1.01093379, 1, 0, 0
1.01093401, 1, 1, 1
1.01093412, 1, 0, 0
1.01093418, 1, 1, 1
1.01093429, 1, 0, 0
1.01093440, 1, 1, 0
1.01093445, 1, 0, 0
1.01093468, 1, 1, 0
1.01093495, 1, 0, 0
1.01093507, 1, 1, 0
1.01093518, 1, 0, 0
1.01093529, 1, 1, 0
1.01093545, 1, 0, 0
1.01093557, 1, 1, 0
1.01093568, 1, 0, 0
1.01093579, 1, 1, 0
1.01093651, 1, 0, 0
1.01093663, 1, 1, 0
1.01093690, 1, 0, 0
1.01093702, 1, 1, 0
1.01093718, 1, 0, 0
1.01093729, 1, 1, 0
1.01093762, 1, 0, 0
1.01093774, 1, 1, 0
1.01093790, 1, 0, 0
1.01093840, 1, 1, 0
1.01093841, 1, 1, 1
1.01093851, 1, 0, 0
1.01093902, 1, 1, 1
1.01093912, 1, 0, 0
1.01093918, 1, 1, 1
1.01093929, 1, 0, 0
1.01093979, 1, 1, 0
1.01093995, 1, 0, 0
1.01094007, 1, 1, 0
1.01094018, 1, 0, 0
1.01094029, 1, 1, 0
1.01094045, 1, 0, 0
1.01094057, 1, 1, 0
1.01094068, 1, 0, 0
1.01094079, 1, 1, 0
1.01094151, 1, 0, 0
1.01094163, 1, 1, 0
1.01094190, 1, 0, 0
1.01094202, 1, 1, 0
1.01094262, 1, 0, 0
1.01094274, 1, 1, 0
1.01094290, 1, 0, 0
1.01094346, 1, 1, 1
1.01094368, 1, 0, 0
1.01094390, 1, 1, 1
1.01094423, 1, 0, 0
1.01094452, 1, 1, 0
1.01094490, 1, 0, 0
1.01094502, 1, 1, 0
1.01094518, 1, 0, 0
1.01094529, 1, 1, 0
1.01094540, 1, 0, 0
1.01094580, 1, 1, 0
1.01094595, 1, 0, 0
1.01094607, 1, 1, 0
1.01094618, 1, 0, 0
1.01094629, 1, 1, 0
1.01094651, 1, 0, 0
1.01094663, 1, 1, 0
1.01094690, 1, 0, 0
1.01094702, 1, 1, 0
1.01094718, 1, 0, 0
1.01094729, 1, 1, 0
1.01094751, 1, 0, 0
1.01094763, 1, 1, 0
1.01094790, 1, 0, 0
1.01094846, 1, 1, 1
1.01094868, 1, 0, 0
1.01094896, 1, 1, 1
1.01094923, 1, 0, 0
1.01094941, 1, 1, 0
1.01094945, 1, 0, 0
1.01094974, 1, 1, 0
1.01094990, 1, 0, 0
1.01095002, 1, 1, 0
1.01095018, 1, 0, 0
1.01095030, 1, 1, 0
1.01095040, 1, 0, 0
1.01095080, 1, 1, 0
1.01095095, 1, 0, 0
1.01095124, 1, 1, 0
1.01095140, 1, 0, 0
1.01095152, 1, 1, 0
1.01095168, 1, 0, 0
1.01095180, 1, 1, 0
1.01095190, 1, 0, 0
1.01095202, 1, 1, 0
1.01095218, 1, 0, 0
1.01095230, 1, 1, 0
1.01095251, 1, 0, 0
1.01095263, 1, 1, 0
1.01095290, 1, 0, 0
1.01097539, 0, 0, 0
1.01097740, 1, 0, 0
1.01098141, 1, 1, 1
1.01098179, 1, 0, 0
1.01098196, 1, 1, 0
1.01098197, 1, 1, 1
1.01098207, 1, 0, 0
1.01098213, 1, 1, 1
1.01098224, 1, 0, 0
1.01098241, 1, 1, 0
1.01098246, 1, 0, 0
1.01098258, 1, 1, 0
1.01098263, 1, 0, 0
1.01098269, 1, 1, 0
1.01098296, 1, 0, 0
1.01098308, 1, 1, 0
1.01098318, 1, 0, 0
1.01098330, 1, 1, 0
1.01098346, 1, 0, 0
1.01098358, 1, 1, 0
